"","year","name","norm_prop"
"305",0,"Jimmy",0.421116223881461
"306",1,"Jimmy",0.430760548706373
"307",2,"Jimmy",0.233561960988598
"308",3,"Jimmy",0.2161688950628
"309",4,"Jimmy",0.174523933553279
"310",5,"Jimmy",0.129160155119523
"311",6,"Jimmy",0.116187706198993
"312",7,"Jimmy",0.12565115471436
"313",8,"Jimmy",0.112367598541413
"314",9,"Jimmy",0.0162788678590033
"315",10,"Jimmy",0
"316",-10,"Ronald",1
"317",-9,"Ronald",0.859875585828712
"318",-8,"Ronald",0.725092316665385
"319",-7,"Ronald",0.627430755468203
"320",-6,"Ronald",0.541723006869598
"321",-5,"Ronald",0.476466517509691
"322",-4,"Ronald",0.4018986570246
"323",-3,"Ronald",0.321374519662653
"324",-2,"Ronald",0.291711285606852
"325",-1,"Ronald",0.25678942423282
"326",0,"Ronald",0.242320697499526
"327",1,"Ronald",0.217150926729918
"328",2,"Ronald",0.177458042567875
"329",3,"Ronald",0.133843692741631
"330",4,"Ronald",0.110494937352195
"331",5,"Ronald",0.0790725761835194
"332",6,"Ronald",0.072180473689047
"333",7,"Ronald",0.0595140083155326
"334",8,"Ronald",0.0510353156958022
"335",9,"Ronald",0.0273846205780364
"336",10,"Ronald",0
"337",-10,"George1",1
"338",-9,"George1",0.897863124820049
"339",-8,"George1",0.84740182516931
"340",-7,"George1",0.793929872438441
"341",-6,"George1",0.714507467170737
"342",-5,"George1",0.569357685615212
"343",-4,"George1",0.482925027853235
"344",-3,"George1",0.444468785598938
"345",-2,"George1",0.475532966964185
"346",-1,"George1",0.372638734148692
"347",0,"George1",0.403051963496614
"348",1,"George1",0.407546036077764
"349",2,"George1",0.388950089505902
"350",3,"George1",0.294399308989397
"351",4,"George1",0.22119850281036
"352",5,"George1",0.124338094463152
"353",6,"George1",0.0788590814065571
"354",7,"George1",0.082864939974713
"355",8,"George1",0.0683186660490969
"356",9,"George1",0.0557002115594057
"357",10,"George1",0
"358",-10,"William3",0.984224948142078
"359",-9,"William3",1
"360",-8,"William3",0.909137237829394
"361",-7,"William3",0.785513073318138
"362",-6,"William3",0.753601884811391
"363",-5,"William3",0.689221234858767
"364",-4,"William3",0.596998642730928
"365",-3,"William3",0.525322031294015
"366",-2,"William3",0.473676662654614
"367",-1,"William3",0.394273861046378
"368",0,"William3",0.325042894824452
"369",1,"William3",0.264518937744885
"370",2,"William3",0.210550846372506
"371",3,"William3",0.0773694588849909
"372",4,"William3",0.135967630413071
"373",5,"William3",0.0768444774514075
"374",6,"William3",0.14194985787088
"375",7,"William3",0.112025916156624
"376",8,"William3",0.0448846321288637
"377",9,"William3",0
"378",10,"William3",0.00512945273886674
"379",-10,"George2",1
"380",-9,"George2",0.848915826532245
"381",-8,"George2",0.731947111537846
"382",-7,"George2",0.577172347575612
"383",-6,"George2",0.504500720115218
"384",-5,"George2",0.510901744279085
"385",-4,"George2",0.487658025284045
"386",-3,"George2",0.467494799167867
"387",-2,"George2",0.378490558489358
"388",-1,"George2",0.36875900144023
"389",0,"George2",0.331783085293647
"390",1,"George2",0.369059049447912
"391",2,"George2",0.337013922227556
"392",3,"George2",0.262522003520563
"393",4,"George2",0.171687469995199
"394",5,"George2",0.20465274443911
"395",6,"George2",0.109227476396223
"396",7,"George2",0.122849655944951
"397",8,"George2",0.0482777244359097
"398",9,"George2",0
"399",10,"George2",0.0317050728116498
"400",-10,"Barack",0
"401",-9,"Barack",0.69152
"402",-8,"Barack",1
"403",-7,"Barack",0.36416
"404",-6,"Barack",0.16416
"405",-5,"Barack",0.18048
"406",-4,"Barack",0.10208
"407",-3,"Barack",0.09984
"408",-2,"Barack",0.05312
"409",-1,"Barack",0.22912
"410",0,"Barack",0.10688
"411",1,"Barack",0
"412",2,"Barack",0.69152
"413",3,"Barack",1
"414",4,"Barack",0.36416
"415",5,"Barack",0.16416
"416",6,"Barack",0.18048
"417",7,"Barack",0.10208
"418",8,"Barack",0.09984
"419",9,"Barack",0.05312
"420",10,"Barack",0.22912
